Code,Section number,Depth (cm),Age (kyr BP),Decription,TC(%),TN(%),TOC%,TIC%,TON%,CaCO3(%),TOC/TN,mean,sorting,skewness,kurtosis,Clay (%),Silt (%),Sand (%)
MD32-1,1,5.5,,,0.46,0.09,0.27,0.19,0.08,1.5827,3.5,7.14,0.95,0.05,0.86,21.4,78.6,0
MD32-2,1,7.5,3.45,browninsh laminated layer ,0.69,0.08,0.41,0.28,0.08,2.33,6.01,7.3,1.02,-0.03,0.85,28,72,0
MD32-3,1,9.5,3.47,,0.64,0.08,0.27,0.37,0.05,3.09,4.13,7.06,1.02,0.04,0.84,20.9,79.1,0
MD32-4,1,13.5,3.51,1cm thick browninsh layer,0.66,0.08,0.42,0.24,0.08,2.02,6.41,7.32,0.98,-0.03,0.86,27.7,72.3,0
MD32-5,1,17,3.58,,1.15,0.09,0.5,0.65,0.08,5.44,6.81,7.24,0.99,-0.01,0.85,25.6,74.4,0
MD32-6,1,19,3.64,thin turbidite layer ,1.14,0.08,0.42,0.72,0.07,6.01,6.28,7.29,1,-0.02,0.85,27.3,72.7,0
MD32-7,1,21,3.7,,0.65,0.08,0.48,0.17,0.09,1.43,7.35,7.14,0.97,0.04,0.85,21.6,78.4,0
MD32-8,1,25.4,3.83,,0.73,0.07,0.33,0.41,0.08,3.39,5.31,7.06,0.99,0.04,0.84,20.2,79.8,0
MD32-10,1,30,3.98,turbidite layer ,1.17,0.08,0.38,0.79,0.07,6.56,5.89,7.11,1.01,0.07,0.84,21.9,78.1,0
MD32-11,1,32.5,4.06,,0.84,0.08,0.31,0.53,0.06,4.43,4.78,7.49,1.01,-0.07,0.88,34.3,65.7,0
MD32-12,1,35.5,4.09,,0.98,0.08,0.33,0.66,0.07,5.47,4.89,7.1,1.01,0.01,0.84,21.6,78.4,0
MD32-13,1,39,4.27,,0.83,0.07,0.39,0.44,0.07,3.65,6.33,7.28,1,0.01,0.85,26.8,73.2,0
MD32-14,1,42.7,4.38,,1.01,0.08,0.4,0.61,0.07,5.07,6.13,7.58,1,-0.07,0.88,37.3,62.7,0
MD32-15,1,45.5,4.47,,0.93,0.07,0.41,0.52,0.07,4.3,6.56,6.93,1.03,0.05,0.85,17.4,82.6,0
MD32-16,1,49.2,4.58,,0.9,0.07,0.41,0.49,0.07,4.08,6.45,7.39,1.05,-0.03,0.83,31.8,68.2,0
MD32-17,1,52.5,4.69,,1.09,0.08,0.34,0.75,0.06,6.22,5.15,7.46,1.02,-0.05,0.86,33.5,66.5,0
MD32-18,1,60,4.92,,1.13,0.07,0.31,0.82,0.06,6.82,5.28,7.48,1.01,-0.06,0.87,34.1,65.9,0
MD32-19,1,74,5.35,Thick browninsh layer,0.79,0.07,0.36,0.42,0.09,3.52,6.06,7.7,1.02,-0.1,0.89,42.6,57.4,0
MD32-20,1,88,5.67,darkish layer ,1.14,0.07,0.42,0.72,0.06,5.99,7.35,7.32,1.03,-0.04,0.85,28.9,71.1,0
MD32-21,1,97.3,5.87,browninsh layer,0.78,0.09,0.51,0.27,0.07,2.23,6.64,7.36,1.04,-0.02,0.84,30.5,69.5,0
MD32-22,1,110.7,6.18,browninsh layer,1.18,0.09,0.56,0.63,0.07,5.21,6.9,7.18,1.03,0.02,0.84,24.7,75.3,0
MD32-23,1,119.5,6.39,,0.97,0.08,0.37,0.6,0.06,5,5.21,7.27,1.05,0.01,0.83,27.8,72.2,0
MD32-24,1,130.8,6.65,KYWei sampled,0.98,0.09,0.34,0.64,0.06,5.33,4.35,7.3,0.95,-0.02,0.87,26.3,73.7,0
MD32-25,1,136.8,6.79,,1.06,0.1,0.43,0.62,0.07,5.21,5.21,7.15,1.07,0.01,0.83,24.8,75.2,0
MD32-26,1,142.8,6.93,browninsh layer,1.37,0.08,0.38,0.99,0.05,8.26,5.74,7.43,1.03,-0.04,0.85,32.5,67.5,0
MD32-27,2,154.5,7.19,,1.28,0.08,0.43,0.85,0.07,7.08,5.91,7.75,0.98,-0.11,0.9,43.8,56.2,0
MD32-28,2,161,7.34,pumice,1.01,0.09,0.41,0.6,0.07,5.02,5.4,7.37,1.03,-0.06,0.85,30.8,69.2,0
MD32-29,2,167.8,7.5,browninsh layer,0.91,0.09,0.36,0.56,0.07,4.64,4.83,7.33,0.99,-0.02,0.85,28.5,71.5,0
MD32-30,2,180.2,7.77,browninsh layer,1.4,0.1,0.41,0.98,0.08,8.18,4.93,7.51,0.98,-0.08,0.89,34.5,65.5,0
MD32-31,2,190.7,8.03,"BL, same layer with the follow two",1.35,0.09,0.67,0.68,0.1,5.67,8.24,7.34,1.05,-0.02,0.83,30.1,69.9,0
MD32-33,2,207.5,8.4,browninsh layer,1.97,0.07,0.47,1.5,0.06,12.46,7.37,7.49,1.03,-0.05,0.85,34.7,65.3,0
MD32-34,2,216.3,8.61,,1.64,0.09,0.48,1.17,0.07,9.73,6.03,7.63,1.05,-0.07,0.85,40.1,59.9,0
MD32-35,2,219.2,8.67,,1.17,0.09,0.53,0.65,0.07,5.4,6.76,7.49,1.06,-0.07,0.84,35.8,64.2,0
MD32-36,2,221.8,8.74,,1.36,0.09,0.54,0.82,0.08,6.86,6.95,6.61,1.29,-0.01,0.86,16.1,83.9,0
MD32-37,2,229.3,8.91,browninsh layer,0.58,0.09,0.46,0.12,0.07,0.97,5.94,7.53,1.07,-0.07,0.85,37.2,62.8,0
MD32-38,2,259.1,9.77,KYWei sampled,1.79,0.09,0.5,1.29,0.06,10.75,6.31,7.19,1.04,-0.02,0.84,25.2,74.8,0
MD32-39,2,284,10.53,browninsh layer,1.27,0.1,0.55,0.72,0.06,5.98,6.76,7.7,1,-0.13,0.91,42.5,57.5,0
MD32-40,2,294.5,10.85,,1.82,0.1,0.52,1.3,0.09,10.83,6.04,7.92,0.94,-0.1,0.89,50.4,49.6,0
MD32-41,3,307.2,11.23,,1.89,0.1,0.55,1.34,0.06,11.16,6.53,7.8,1.01,-0.11,0.88,46.5,53.5,0
MD32-42,3,340.7,12.24,browninsh layer,1.89,0.07,0.44,1.46,0.05,12.13,7.09,7.99,0.93,-0.08,0.89,52.9,47.1,0
MD32-43,3,363,12.92,,1.83,0.09,0.42,1.41,0.05,11.75,5.45,7.72,1.01,-0.11,0.9,43.3,56.7,0
MD32-44,3,385.2,13.33,KYWei sampled,1.59,0.09,0.54,1.05,0.05,8.74,7.41,7.89,0.95,-0.1,0.88,49.6,50.4,0
MD32-45,3,405.5,13.39,,1.78,0.09,0.58,1.19,0.09,9.94,7.88,7.92,0.97,-0.11,0.92,50.6,49.4,0
MD32-46,3,435,13.47,,1.82,0.09,0.71,1.11,0.1,9.25,9.16,7.5,1.07,-0.07,0.84,36.3,63.7,0
MD32-47,4,457,13.53,,1.81,0.09,0.64,1.17,0.09,9.76,8.72,7.82,0.98,-0.08,0.86,46.4,53.6,0
MD32-48,4,496.7,13.65,KYWei sampled,1.82,0.08,0.53,1.28,0.08,10.68,7.42,7.82,0.99,-0.08,0.91,46.1,53.9,0
MD32-49,4,525.5,13.72,turbidite layer ,1.83,0.08,0.51,1.32,0.08,11.02,7.53,7.7,1.01,-0.11,0.9,42.7,57.3,0
MD32-50,4,531,13.74,,1.72,0.09,0.55,1.17,0.08,9.79,7.05,7.04,1.09,0.04,0.83,22,78,0
MD32-51,4,534.2,13.75,,1.64,0.09,0.51,1.13,0.08,9.43,6.44,7.56,1.07,-0.1,0.86,38.4,61.6,0
MD32-52,4,555.4,13.84,,1.62,0.09,0.64,0.98,0.09,8.16,8.15,7.86,0.96,-0.09,0.89,48.1,51.9,0
MD32-53,4,561,13.89,browninsh layer,1.46,0.09,0.58,0.88,0.09,7.3,7.26,7.84,0.95,-0.09,0.87,47.3,52.7,0
MD32-54,4,575,14.01,,1.64,0.09,0.57,1.07,0.08,8.89,7.16,7.72,1.04,-0.09,0.87,43.7,56.3,0
MD32-55,4,582.2,14.08,browninsh layer,1.34,0.09,0.6,0.74,0.09,6.17,7.59,7.56,1.08,-0.09,0.85,38.5,61.5,0
MD32-56,4,596.3,14.2,browninsh layer,1.22,0.09,0.59,0.63,0.09,5.23,7.51,7.47,1.08,-0.05,0.84,35,65,0
MD32-57,5,605,14.28,browninsh layer,1.3,0.1,0.59,0.71,0.09,5.92,7.18,7.65,1.08,-0.08,0.85,41.2,58.8,0
MD32-58,5,617.8,14.39,,1.51,0.09,0.57,0.93,0.08,7.78,7.81,7.13,1.07,0.04,0.81,24.3,75.7,0
MD32-59,5,625,14.45,browninsh layer,1.32,0.09,0.67,0.65,0.09,5.39,8.41,7.53,1.08,-0.06,0.85,37.4,62.6,0
MD32-60,5,644,14.62,browninsh layer,1.3,0.09,0.74,0.56,0.09,4.69,9.07,7.73,0.98,-0.08,0.88,43,57,0
MD32-61,5,673.7,14.88,browninsh layer,1.58,0.1,0.6,0.98,0.08,8.15,7.25,7.44,1.05,-0.03,0.85,33.1,66.9,0
MD32-62,5,695.3,15.07,KYWei sampled,1.77,0.1,0.74,1.03,0.09,8.62,8.25,7.41,1.06,-0.05,0.83,33,67,0
MD32-63,5,698.6,15.1,,1.72,0.1,0.77,0.94,0.09,7.85,8.91,7.38,1.11,-0.03,0.81,33.1,66.9,0
MD32-64,5,722,15.3,,1.59,0.1,0.74,0.85,0.08,7.06,9.04,7.33,1.04,-0.03,0.85,29.4,70.6,0
MD32-65,5,726.5,15.34,browninsh layer,1.61,0.1,0.68,0.93,0.09,7.75,7.82,7.24,0.99,0,0.85,25.3,74.7,0
MD32-66,5,746.5,15.52,browninsh layer,1.02,0.1,0.54,0.48,0.08,4,6.12,6.96,1.17,0,0.86,21.4,78.6,0
MD32-67,6,756,15.6,,1.57,0.1,0.57,1,0.08,8.33,6.52,7.12,1.2,-0.02,0.78,27.5,72.5,0
MD32-68,6,762.5,15.66,,1.53,0.12,0.63,0.9,0.09,7.49,6.15,7.62,1.09,-0.12,0.82,41.8,58.2,0
MD32-69,6,795.7,15.94,,1.65,0.12,0.63,1.02,0.09,8.51,6.01,6.83,1.28,0.02,0.85,21,79,0
MD32-70,6,827.8,16.23,KYWei sampled,1.57,0.12,0.54,1.04,0.08,8.66,5.2,7.5,1.09,-0.13,0.84,37.7,62.3,0
MD32-71,6,831.4,16.26,browninsh layer,1.15,0.12,0.6,0.55,0.09,4.55,5.92,4.68,1.37,0.3,1.08,2.12,63.78,34.1
MD32-72,6,852.2,16.44,,1.69,0.12,0.59,1.1,0.08,9.17,5.8,4.55,0.94,0.25,1.11,0.11,71.79,28.1
MD32-73,6,856.5,16.48,thick browninsh layer,1.15,0.13,0.56,0.59,0.08,4.9,5.1,7.18,1.14,0.01,0.79,27.7,72.3,0
MD32-74,6,862.3,16.53,,1.79,0.11,0.59,1.2,0.09,9.99,6.17,6.93,1.29,0.07,0.72,25.7,74.3,0
MD32-75,6,877.3,16.65,below browninsh layer,1.19,0.11,0.71,0.49,0.1,4.07,7.2,5.4,1.75,0.37,0.8,10.9,65.7,23.4
MD32-76,6,897.2,16.78,,1.72,0.13,0.51,1.21,0.08,10.06,4.73,5.37,1.39,0.36,1.01,6.52,81.38,12.1
MD32-77,7,915.5,16.91,,1.61,0.12,0.59,1.01,0.08,8.43,5.74,6.2,1.23,0.17,0.83,9.63,90.35,0.02
MD32-78,7,927.5,16.99,slight browninsh layer,2.12,0.12,0.54,1.58,0.08,13.13,5.3,4.61,0.93,0.26,1.1,0.16,74.74,25.1
MD32-79,7,934.5,17.04,thick browninsh layer,1.08,0.12,0.56,0.51,0.08,4.28,5.55,7.47,1.04,-0.02,0.85,33.9,66.1,0
MD32-80,7,939.5,17.08,"browninsh layer, transition",1.79,0.11,0.57,1.22,0.09,10.15,6.14,7.39,1.02,-0.07,0.86,31.5,68.5,0
MD32-81,7,956.1,17.19,KYWei sampled,1.31,0.1,0.58,0.74,0.08,6.13,6.9,7.38,1.09,-0.07,0.81,33.1,66.9,0
MD32-82,7,969.7,17.29,slight browninsh layer,1.48,0.1,0.57,0.91,0.08,7.59,6.55,7.44,1.05,-0.1,0.86,34,66,0
MD32-83,7,974.3,17.32,browninsh layer,1.15,0.12,0.62,0.53,0.09,4.43,5.89,7.87,1.01,-0.13,0.89,49.6,50.4,0
MD32-84,7,995.7,17.47,,1.79,0.11,0.61,1.18,0.08,9.79,6.29,7.04,1.12,0,0.82,22.9,77.1,0
MD32-85,7,1016,17.57,slight browninsh layer,1.38,0.11,0.62,0.76,0.08,6.35,6.8,7.96,0.99,-0.14,0.87,53.2,46.8,0
MD32-86,7,1032.3,17.65,,1.74,0.11,0.54,1.2,0.09,10,5.85,7.19,1.06,-0.03,0.85,25.7,74.3,0
MD32-87,7,1043.9,17.7,browninsh layer,1.35,0.11,0.63,0.71,0.09,5.95,6.62,6.53,1.39,0.05,0.75,18.2,81.8,0
MD32-88,8,1052.5,17.74,,1.54,0.11,0.51,1.03,0.08,8.57,5.28,8.09,0.94,-0.11,0.87,57.3,42.7,0
MD32-89,8,1057.3,17.77,,1.82,0.11,0.66,1.16,0.08,9.66,7.33,7.34,1.13,-0.05,0.79,32.7,67.3,0
MD32-90,8,1063,17.79,,1.63,0.11,0.74,0.89,0.09,7.4,8.15,7.54,1.07,-0.1,0.82,38.4,61.6,0
MD32-91,8,1111.5,18.02,,1.11,0.1,0.83,0.27,0.1,2.27,9.89,7.34,1.12,-0.02,0.79,32.1,67.9,0
MD32-92,8,1122.8,18.07,,1.54,0.1,0.58,0.96,0.07,7.99,6.93,7.44,1.07,-0.06,0.84,34,66,0
MD32-93,8,1136.3,18.13,KYWei sampled,1.58,0.1,0.62,0.96,0.08,8,6.91,7.16,1.22,0.01,0.69,30.4,69.6,0
MD32-94,8,1148.5,18.19,below browninsh layer,1.49,0.1,0.94,0.55,0.13,4.55,10.82,7.03,1.09,0.05,0.81,22.2,77.8,0
MD32-95,8,1160,18.24,,1.14,0.1,0.64,0.51,0.08,4.22,7.58,7.4,1.11,-0.08,0.8,34.4,65.6,0
MD32-96,8,1179.5,18.33,,1.62,0.1,0.58,1.04,0.08,8.69,6.83,8.66,0.85,0.02,0.85,76.7,23.3,0
MD32-97,8,1195,18.41,,1.72,0.1,0.73,1,0.09,8.33,8.83,,,,,,,
