Age 1,O181,,,Age2,O182
10.495,-7.84,,1.7,0.0017,-8.6
10.641,-7.84,,20,0.02,-7.98
10.787,-7.87,,38.2,0.0382,-7.9
10.933,-7.77,,56.5,0.0565,-7.73
10.979,-7.56,,91.3,0.0913,-7.84
11.025,-7.65,,93,0.093,-7.94
11.072,-7.56,,94.7,0.0947,-8.02
11.118,-7.64,,96.5,0.0965,-7.83
11.164,-7.57,,98.2,0.0982,-7.85
11.21,-7.45,,99.9,0.0999,-8.05
11.257,-7.3,,101.6,0.1016,-7.86
11.303,-7.33,,103.4,0.1034,-8.15
11.349,-7.14,,105.1,0.1051,-8.21
11.395,-7.21,,106.8,0.1068,-8.08
11.442,-7.06,,108.6,0.1086,-8.03
11.488,-7.12,,110.3,0.1103,-7.98
11.534,-6.79,,112,0.112,-7.91
11.627,-6.42,,113.8,0.1138,-7.66
11.72,-6.29,,115.5,0.1155,-7.7
11.813,-6.29,,117.2,0.1172,-7.85
11.906,-6.3,,119,0.119,-7.86
11.999,-6.34,,120.7,0.1207,-7.86
12.092,-6.31,,122.4,0.1224,-7.84
12.185,-6.31,,124.1,0.1241,-7.94
12.278,-6.11,,125.9,0.1259,-7.59
12.371,-6.16,,127.6,0.1276,-7.78
12.464,-6.09,,129.3,0.1293,-7.96
12.557,-6.09,,131.1,0.1311,-7.95
12.582,-6.11,,132.8,0.1328,-8.1
12.608,-6.11,,134.5,0.1345,-7.99
12.633,-6.33,,136.3,0.1363,-7.68
12.658,-6.49,,138,0.138,-7.88
12.684,-6.54,,139.7,0.1397,-7.75
12.709,-6.61,,141.5,0.1415,-7.86
12.735,-6.73,,143.2,0.1432,-7.96
12.76,-6.67,,144.9,0.1449,-8.36
12.785,-6.8,,146.6,0.1466,-8.08
12.811,-6.8,,148.4,0.1484,-7.66
12.836,-6.97,,150.1,0.1501,-7.98
12.861,-7.1,,151.8,0.1518,-7.97
12.887,-7.39,,155.3,0.1553,-7.71
12.912,-7.41,,158.8,0.1588,-7.75
12.969,-7.33,,165.7,0.1657,-7.79
13.026,-7.22,,169.1,0.1691,-8.18
13.083,-7.25,,172.6,0.1726,-8.08
13.14,-7.15,,176.1,0.1761,-7.88
13.196,-7.07,,179.5,0.1795,-8.44
13.253,-7.27,,183,0.183,-8.04
13.31,-7.28,,187,0.187,-8.17
13.367,-7.33,,191,0.191,-8.29
13.424,-7.28,,195,0.195,-7.97
13.481,-7.25,,199,0.199,-7.85
13.538,-7.16,,203,0.203,-7.78
13.595,-7.01,,207,0.207,-7.72
13.652,-7.01,,211,0.211,-7.78
13.709,-7,,215,0.215,-8.09
13.765,-7.04,,219,0.219,-8.01
13.822,-6.89,,223,0.223,-8.05
13.879,-6.78,,227,0.227,-7.85
13.936,-6.64,,231,0.231,-8.12
13.993,-6.71,,235,0.235,-7.9
14.05,-6.75,,239,0.239,-8.03
14.107,-6.73,,243,0.243,-8
14.164,-6.77,,247,0.247,-7.98
14.221,-6.71,,251,0.251,-8.12
14.277,-6.7,,255,0.255,-8.05
14.334,-6.68,,259,0.259,-7.99
14.391,-6.71,,263,0.263,-8.1
14.448,-6.76,,267,0.267,-8.03
14.505,-6.51,,271,0.271,-7.72
14.586,-6.27,,275,0.275,-7.83
14.667,-5.86,,279,0.279,-7.63
14.748,-5.7,,283,0.283,-7.86
14.83,-5.5,,287,0.287,-7.93
14.911,-5.23,,291,0.291,-8.04
14.992,-5.23,,295,0.295,-7.93
15.073,-5.08,,299,0.299,-8.09
15.111,-4.99,,303,0.303,-7.89
15.148,-5.02,,307,0.307,-8
15.186,-5.06,,311,0.311,-7.96
15.223,-5.19,,315,0.315,-7.96
15.261,-5.24,,319,0.319,-7.57
15.298,-5.22,,323,0.323,-7.75
15.336,-5.11,,327,0.327,-7.9
15.373,-5.11,,331,0.331,-7.8
15.411,-5.11,,335,0.335,-7.73
15.457,-4.91,,339,0.339,-7.76
15.504,-4.83,,343,0.343,-7.75
15.55,-4.87,,347,0.347,-7.37
15.596,-4.62,,351,0.351,-7.63
15.642,-4.64,,355,0.355,-7.73
15.689,-4.42,,359,0.359,-7.24
15.735,-4.2,,363,0.363,-7.47
15.781,-4.03,,367,0.367,-7.69
15.858,-4.83,,371,0.371,-7.86
15.935,-5.14,,375,0.375,-7.82
16.012,-5.4,,379,0.379,-7.84
16.089,-5.36,,383,0.383,-7.7
16.143,-5.25,,387,0.387,-7.92
16.196,-5.41,,391,0.391,-8.01
16.25,-5.23,,403.2,0.4032,-7.38
16.303,-5.21,,415.3,0.4153,-7.62
16.357,-5.29,,427.5,0.4275,-7.65
16.41,-5.24,,439.7,0.4397,-7.53
16.464,-5.19,,451.8,0.4518,-7.62
16.517,-5.07,,464,0.464,-7.46
16.571,-5.19,,476.2,0.4762,-7.74
16.624,-5.28,,488.3,0.4883,-7.52
16.678,-5.41,,500.5,0.5005,-7.72
16.731,-4.96,,512.6,0.5126,-7.57
16.785,-5.32,,524.8,0.5248,-7.58
16.838,-5.11,,537,0.537,-7.75
16.892,-5.34,,549.1,0.5491,-7.59
16.945,-5.76,,561.3,0.5613,-8.04
16.999,-5.41,,573.5,0.5735,-7.9
17.052,-5.61,,585.6,0.5856,-7.93
17.106,-5.53,,610,0.61,-7.9
17.159,-5.76,,634.3,0.6343,-7.97
17.213,-5.56,,646.4,0.6464,-7.79
17.266,-5.39,,658.6,0.6586,-8.04
17.32,-5.32,,670.8,0.6708,-7.68
17.391,-5.46,,682.9,0.6829,-7.78
17.462,-5.74,,695.1,0.6951,-7.13
17.533,-6.21,,707.3,0.7073,-7.94
17.604,-6.22,,731.6,0.7316,-7.6
17.675,-6.36,,792.4,0.7924,-7.06
17.746,-6.37,,853.2,0.8532,-7.53
17.817,-6.42,,914,0.914,-7.61
17.888,-6.44,,958.5,0.9585,-7.77
17.959,-6.52,,1003,1.003,-7.56
18.032,-6.36,,1023.8,1.0238,-7.45
18.104,-6.19,,1044.6,1.0446,-7.21
18.177,-6.33,,1065.4,1.0654,-7.46
18.249,-6,,1086.1,1.0861,-7.56
18.322,-6.17,,1106.9,1.1069,-7.91
18.394,-5.98,,1127.7,1.1277,-7.73
18.467,-6.27,,1148.5,1.1485,-7.61
18.54,-6.18,,1169.3,1.1693,-7.74
18.612,-6.13,,1190.1,1.1901,-7.48
18.685,-6.01,,1210.9,1.2109,-7.74
18.757,-6.26,,1231.6,1.2316,-7.63
18.83,-6.02,,1252.4,1.2524,-7.4
18.903,-6.24,,1273.2,1.2732,-7.73
18.975,-6.11,,1294,1.294,-7.31
19.048,-6.17,,1327.6,1.3276,-7.54
19.12,-5.88,,1361.3,1.3613,-7.77
19.193,-6.12,,1394.9,1.3949,-7.71
19.265,-5.96,,1428.6,1.4286,-7.69
19.338,-6.04,,1494.3,1.4943,-7.54
19.37,-6.85,,1581.6,1.5816,-7.69
19.423,-6.88,,1668.9,1.6689,-7.6
19.476,-6.81,,1756.2,1.7562,-7.28
19.529,-6.65,,1843.5,1.8435,-7.78
19.582,-6.47,,2070.4,2.0704,-6.93
19.635,-6.56,,2088,2.088,-7.61
19.688,-6.43,,2107.6,2.1076,-7.36
19.741,-6.33,,2127.2,2.1272,-7.35
19.794,-6.37,,2146.8,2.1468,-7.19
19.847,-6.37,,2166.4,2.1664,-7.28
19.9,-6.27,,2186,2.186,-7.14
19.953,-6.32,,2205.6,2.2056,-7.34
20.006,-6.21,,2225.2,2.2252,-7.75
20.059,-6.25,,2244.8,2.2448,-7.61
20.112,-6.07,,2264.3,2.2643,-7.4
20.165,-6.22,,2283.9,2.2839,-7.76
20.218,-6.18,,2303.5,2.3035,-7.71
20.271,-6.28,,2323.1,2.3231,-7.66
20.324,-6.38,,2342.7,2.3427,-7.66
20.377,-6.26,,2362.3,2.3623,-7.56
20.43,-6.14,,2381.9,2.3819,-7.6
20.483,-6.07,,2401.5,2.4015,-7.21
20.536,-6.15,,2421.1,2.4211,-7
20.589,-6.16,,2440.7,2.4407,-8.11
20.642,-6.16,,2460.3,2.4603,-6.76
20.695,-6.26,,2479.8,2.4798,-6.75
20.748,-6.32,,2499.4,2.4994,-6.64
20.801,-6.23,,2519,2.519,-6.75
20.854,-6.3,,2524.1,2.5241,-6.96
20.907,-6.24,,2529.3,2.5293,-6.69
20.96,-6.32,,2534.4,2.5344,-6.72
21.037,-6.39,,2539.5,2.5395,-6.71
21.114,-6.34,,2544.7,2.5447,-7.26
21.192,-6.16,,2549.8,2.5498,-7.36
21.269,-6.2,,2555,2.555,-7.35
21.346,-6.3,,2560.1,2.5601,-7.46
21.423,-5.97,,2565.3,2.5653,-7.6
21.501,-6.03,,2570.4,2.5704,-7.25
21.578,-6.08,,2575.5,2.5755,-7.37
21.655,-6.1,,2580.7,2.5807,-7.76
21.732,-6.11,,2585.8,2.5858,-7.8
21.81,-6.05,,2591,2.591,-7.53
21.887,-6.1,,2596.1,2.5961,-7.35
21.964,-6.25,,2601.3,2.6013,-7.37
22.041,-6.33,,2606.4,2.6064,-8.32
22.118,-6.08,,2611.5,2.6115,-7.39
22.196,-6.07,,2616.7,2.6167,-7.67
22.273,-6.1,,2621.8,2.6218,-7.86
22.36,-6.18,,2627.1,2.6271,-7.79
22.446,-6.3,,2652.8,2.6528,-7.49
22.533,-6.22,,2678.5,2.6785,-7.67
22.62,-6.17,,2704.2,2.7042,-7.42
22.706,-6.17,,2729.9,2.7299,-6.88
22.793,-6.06,,2755.6,2.7556,-6.7
22.88,-6.21,,2781.2,2.7812,-7.36
22.966,-6.19,,2832.6,2.8326,-7.83
23.053,-6.27,,2896.9,2.8969,-7.91
23.14,-6.28,,2961.1,2.9611,-7.39
23.226,-6.39,,3025.4,3.0254,-7.41
23.313,-6.49,,3089.6,3.0896,-7.12
23.4,-6.38,,3153.8,3.1538,-7.23
23.487,-6.27,,3217.6,3.2176,-7.44
23.573,-6.26,,3330.4,3.3304,-7.28
23.66,-6.11,,3443.2,3.4432,-7.45
23.747,-5.95,,3556,3.556,-8.59
23.833,-5.78,,3631.2,3.6312,-8.27
23.92,-5.75,,3649.2,3.6492,-8.1
24.007,-5.57,,3667.2,3.6672,-7.74
24.093,-5.41,,3685.2,3.6852,-7.85
24.18,-5.17,, 3703.2      -,#VALUE!,7.73
24.241,-5.22,,3721.1,3.7211,-7.8
24.302,-5.47,,3739.1,3.7391,-8.02
24.363,-5.45,,3757.1,3.7571,-8.29
24.424,-5.61,,3775.1,3.7751,-8.08
24.485,-6,,3793.1,3.7931,-8.08
24.546,-6.37,,3811,3.811,-8.16
24.607,-6.76,,3829,3.829,-8.48
24.669,-6.88,,3847,3.847,-8.04
24.73,-6.92,,3865,3.865,-8
24.79,-6.74,,3883,3.883,-8.46
24.85,-6.53,,3901,3.901,-7.88
24.913,-6.48,,3918.9,3.9189,-8.05
24.974,-6.52,,3936.9,3.9369,-8.15
25.035,-6.49,,3954.9,3.9549,-8.25
25.096,-6.27,,3972.9,3.9729,-8.16
25.157,-6.27,,3990.9,3.9909,-8.2
25.218,-6.3,,4008.9,4.0089,-8.15
25.279,-6.41,,4030.4,4.0304,-8.21
25.34,-6.27,,4045.1,4.0451,-8.31
25.401,-6.34,,4049.4,4.0494,-8.18
25.462,-6.48,,4053.7,4.0537,-8.38
25.523,-6.6,,4057.9,4.0579,-8.12
25.584,-6.43,,4062.2,4.0622,-8.13
25.768,-6.25,,4066.5,4.0665,-8.38
25.829,-6.17,,4070.8,4.0708,-8
25.883,-6.2,,4075,4.075,-8.38
25.938,-6.27,,4079.3,4.0793,-8.2
25.992,-6.35,,4083.6,4.0836,-8.34
26.046,-6.48,,4087.9,4.0879,-8.34
26.101,-6.44,,4092.1,4.0921,-8.13
26.155,-6.54,,4096.4,4.0964,-8.39
26.21,-6.52,,4100.7,4.1007,-8.18
26.264,-6.59,,4105,4.105,-8.56
26.318,-6.67,,4109.2,4.1092,-8.21
26.373,-6.74,,4113.5,4.1135,-8.63
26.427,-7.04,,4117.8,4.1178,-8.11
26.482,-6.9,,4126.3,4.1263,-8.14
26.536,-6.84,,4134.9,4.1349,-8.38
26.59,-6.78,,4143.4,4.1434,-8.28
26.645,-6.68,,4152,4.152,-7.7
26.699,-6.75,,4175.5,4.1755,-7.95
26.754,-6.85,,4199,4.199,-8.47
26.808,-7.2,,4222.4,4.2224,-8.41
26.862,-7.38,,4245.9,4.2459,-7.92
26.917,-7.33,,4272.9,4.2729,-8.18
26.971,-7.19,,4305.3,4.3053,-8.51
27.026,-7.09,,4337.7,4.3377,-8.62
27.08,-7.01,,4370,4.37,-8.59
27.152,-6.99,,4402.4,4.4024,-8.3
27.296,-7.04,,4434.8,4.4348,-8.49
27.439,-7.14,,4467.1,4.4671,-8.5
27.583,-7.16,,4499.5,4.4995,-7.57
27.726,-7.56,,4531.9,4.5319,-8.48
27.87,-7.74,,4564.2,4.5642,-8.46
28.014,-7.13,,4596.6,4.5966,-8.5
28.157,-6.97,,4629,4.629,-7.87
28.301,-7.03,,4679.8,4.6798,-7.98
28.445,-6.94,,4730.5,4.7305,-8.53
28.588,-6.99,,4781.3,4.7813,-8.5
28.732,-7.41,,4832.1,4.8321,-8.3
28.876,-7.76,,4882.8,4.8828,-8.67
29.019,-8.06,,4933.6,4.9336,-8.35
29.163,-8.05,,4984.3,4.9843,-8.43
29.428,-8.55,,5009.7,5.0097,-8.3
29.694,-8,,5035.1,5.0351,-8.43
29.959,-7.47,,5060.5,5.0605,-8.18
30.225,-6.65,,5085.8,5.0858,-8.12
30.49,-6.59,,5111.2,5.1112,-8.4
30.7,-6.73,,5136.6,5.1366,-8.05
30.91,-7.07,,5162,5.162,-7.82
31.12,-7.18,,5177.3,5.1773,-7.77
31.33,-7.85,,5190.2,5.1902,-8.47
31.54,-7.64,,5203.1,5.2031,-8.44
31.75,-7.63,,5215.9,5.2159,-7.88
31.96,-7.61,,5228.8,5.2288,-8.49
32.17,-7.31,,5241.6,5.2416,-8.65
32.375,-7.44,,5254.5,5.2545,-8.4
32.58,-8.29,,5267.3,5.2673,-8.38
32.785,-8.61,,5280.2,5.2802,-8.57
32.99,-7.17,,5293.1,5.2931,-8.15
,,,5305.9,5.3059,-8.49
,,,5318.8,5.3188,-8.35
,,,5331.6,5.3316,-8.45
,,,5344.5,5.3445,-8.5
,,,5357.3,5.3573,-8.59
,,,5370.2,5.3702,-8.46
,,,5383,5.383,-8.65
,,,5389.5,5.3895,-8.55
,,,5395.9,5.3959,-8.66
,,,5402.4,5.4024,-8.78
,,,5405,5.405,-8.7
,,,5414.1,5.4141,-8.56
,,,5420.5,5.4205,-8.52
,,,5427,5.427,-8.73
,,,5433.5,5.4335,-8.66
,,,5440,5.44,-8.12
,,,5452.9,5.4529,-8.31
,,,5459.4,5.4594,-8.69
,,,5465.9,5.4659,-8.91
,,,5472.4,5.4724,-8.05
,,,5478.8,5.4788,-8.28
,,,5485.3,5.4853,-8.81
,,,5491.8,5.4918,-8.73
,,,5498.3,5.4983,-8.93
,,,5504.7,5.5047,-8.49
,,,5511.2,5.5112,-8.59
,,,5517.7,5.5177,-8.46
,,,5524.2,5.5242,-8.76
,,,5530.6,5.5306,-8.85
,,,5537.1,5.5371,-8.38
,,,5543.6,5.5436,-8.91
,,,5550.1,5.5501,-8.67
,,,5556.6,5.5566,-8.56
,,,5563,5.563,-8.51
,,,5569.5,5.5695,-8.64
,,,5576,5.576,-8.97
,,,5595.4,5.5954,-8.42
,,,5621.3,5.6213,-8.82
,,,5647.2,5.6472,-9.17
,,,5673.1,5.6731,-9.17
,,,5699,5.699,-9.04
,,,5724.9,5.7249,-8.57
,,,5750.8,5.7508,-9.28
,,,5782.1,5.7821,-8.79
,,,5825.8,5.8258,-8.95
,,,5869.5,5.8695,-8.78
,,,5913.2,5.9132,-9.06
,,,5956.9,5.9569,-8.71
,,,6000.6,6.0006,-8.81
,,,6044.3,6.0443,-8.96
,,,6088,6.088,-8.89
,,,6131.7,6.1317,-9.06
,,,6175.4,6.1754,-8.82
,,,6219.1,6.2191,-8.76
,,,6262.8,6.2628,-9.03
,,,6306.5,6.3065,-8.87
,,,6343.5,6.3435,-8.82
,,,6376.2,6.3762,-8.55
,,,6408.8,6.4088,-8.9
,,,6441.4,6.4414,-8.95
,,,6474,6.474,-8.96
,,,6506.6,6.5066,-8.9
,,,6539.2,6.5392,-8.5
,,,6578.4,6.5784,-8.8
,,,6620.4,6.6204,-8.18
,,,6662.4,6.6624,-8.57
,,,6704.3,6.7043,-8.43
,,,6746.3,6.7463,-8.78
,,,6788.2,6.7882,-8.94
,,,6830.2,6.8302,-8.31
,,,6872.2,6.8722,-8.55
,,,6914.1,6.9141,-8.94
,,,6956.1,6.9561,-8.47
,,,6998,6.998,-8.72
,,,7031.5,7.0315,-8.83
,,,7064.9,7.0649,-8.57
,,,7094.9,7.0949,-8.96
,,,7128.4,7.1284,-9.31
,,,7161.8,7.1618,-8.78
,,,7195.2,7.1952,-9.08
,,,7228.6,7.2286,-8.92
,,,7262,7.262,-9.01
,,,7295.4,7.2954,-9.23
,,,7328.9,7.3289,-9.19
,,,7362.3,7.3623,-8.99
,,,7395.7,7.3957,-9.32
,,,7455.4,7.4554,-9.17
,,,7518,7.518,-9.2
,,,7580.6,7.5806,-8.92
,,,7643.2,7.6432,-9.13
,,,7694.2,7.6942,-9.15
,,,7718.1,7.7181,-9.2
,,,7742.1,7.7421,-8.68
,,,7766.1,7.7661,-9.06
,,,7790,7.79,-9.17
,,,7814,7.814,-9.28
,,,7837.9,7.8379,-9.2
,,,7861.9,7.8619,-9
,,,7885.9,7.8859,-8.95
,,,7974.5,7.9745,-9.07
,,,7986.5,7.9865,-8.8
,,,7998.5,7.9985,-9.08
,,,8010.5,8.0105,-8.56
